ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
5528,PPP2R5D,26,Q14738
5551,PRF1,27,P14222
5566,PRKACA,74,P17612
5579,PRKCB,42,P05771
5591,PRKDC,107,P78527
5631,PRPS1,69,P60891
5683,PSMA2,136,P25787
5685,PSMA4,128,P25789
5687,PSMA6,141,P60900
5688,PSMA7,155,O14818
5689,PSMB1,131,P20618
5690,PSMB2,105,P49721
5692,PSMB4,110,P28070
5694,PSMB6,127,P28072
5698,PSMB9,63,P28065
5708,PSMD2,151,Q13200
5713,PSMD7,69,P51665
5720,PSME1,109,Q06323
5721,PSME2,101,Q9UL46
5725,PTBP1,71,P26599
5777,PTPN6,70,P29350
5788,PTPRC,84,P08575
5795,PTPRJ,101,Q12913
5834,PYGB,120,P11216
5859,QARS,76,P47897
5861,RAB1A,179,P62820
5862,RAB2A,140,P61019
5867,RAB4A,48,P20338
5869,RAB5B,144,P61020
5871,MAP4K2,2,Q12851
5878,RAB5C,207,P51148
5880,RAC2,117,P15153
5898,RALA,182,P11233
5901,RAN,179,P62826
5906,RAP1A,158,P62834
5908,RAP1B,201,P61224
5912,RAP2B,151,P61225
6050,RNH1,129,P13489
6051,RNPEP,88,Q9H4A4
6128,RPL6,125,Q02878
6129,RPL7,137,P18124
6132,RPL8,110,P62917
6133,RPL9,85,P32969
6137,RPL13,123,P26373
6138,RPL15,123,P61313
6139,RPL17,88,P18621
6141,RPL18,134,Q07020
6142,RPL18A,91,Q02543
6143,RPL19,87,P84098
6144,RPL21,86,P46778
6152,RPL24,98,P83731
6154,RPL26,70,P61254
6155,RPL27,93,P61353
6157,RPL27A,86,P46776
6158,RPL28,83,P46779
6161,RPL32,60,P62910
6175,RPLP0,144,P05388
6187,RPS2,141,P15880
6188,RPS3,163,P23396
6189,RPS3A,138,P61247
6191,RPS4X,134,P62701
6193,RPS5,93,P46782
6194,RPS6,136,P62753
6201,RPS7,103,P62081
6202,RPS8,144,P62241
6203,RPS9,116,P46781
6204,RPS10,92,P46783
6207,RPS13,117,P62277
6210,RPS15A,90,P62244
6229,RPS24,90,P62847
6301,SARS,99,P49591
6421,SFPQ,72,P23246
6472,SHMT2,93,P34897
6693,SPN,50,P16150
6709,SPTAN1,129,Q13813
6711,SPTBN1,119,Q01082
6723,SRM,54,P19623
6767,ST13,117,P50502
6810,STX4,116,Q12846
6850,SYK,40,P43405
6897,TARS,121,P26639
6950,TCP1,184,P17987
7001,PRDX2,181,P32119
7018,TF,116,P02787
7094,TLN1,185,Q9Y490
7167,TPI1,228,P60174
7184,HSP90B1,159,P14625
7203,CCT3,180,P49368
7247,TSN,59,Q15631
7277,TUBA4A,160,P68366
7284,TUFM,77,P49411
7307,U2AF1,15,Q01081
7317,UBA1,187,P22314
7360,UGP2,127,Q16851
7407,VARS,99,P26640
7408,VASP,114,P50552
7414,VCL,168,P18206
7415,VCP,210,P55072
7416,VDAC1,95,P21796
7430,EZR,222,P15311
7431,VIM,138,P08670
7453,WARS,120,P23381
7520,XRCC5,136,P13010
7529,YWHAB,209,P31946
7534,YWHAZ,244,P63104
7846,TUBA1A,150,Q71U36
7879,RAB7A,194,P51149
8078,USP5,93,P45974
8218,CLTCL1,66,P53675
8239,USP9X,82,Q93008
8294,HIST1H4I,183,P62805
8329,HIST1H2AI,34,P0C0S8
8330,HIST1H2AK,35,P0C0S8
8331,HIST1H2AJ,30,Q99878
8332,HIST1H2AL,34,P0C0S8
8335,HIST1H2AB,81,P04908
8336,HIST1H2AM,35,P0C0S8
8337,HIST2H2AA3,72,Q6FI13
8339,HIST1H2BG,114,P62807
8343,HIST1H2BF,88,P62807
8344,HIST1H2BE,88,P62807
8346,HIST1H2BI,88,P62807
8347,HIST1H2BC,90,P62807
8350,HIST1H3A,85,P68431
8351,HIST1H3D,62,P68431
8352,HIST1H3C,62,P68431
8353,HIST1H3E,62,P68431
8354,HIST1H3I,62,P68431
8355,HIST1H3G,62,P68431
8356,HIST1H3J,62,P68431
8357,HIST1H3H,62,P68431
8358,HIST1H3B,62,P68431
8359,HIST1H4A,205,P62805
8360,HIST1H4D,180,P62805
8361,HIST1H4F,180,P62805
8362,HIST1H4K,180,P62805
8363,HIST1H4J,180,P62805
8364,HIST1H4C,180,P62805
8365,HIST1H4H,180,P62805
8366,HIST1H4B,180,P62805
8367,HIST1H4E,180,P62805
8368,HIST1H4L,180,P62805
8370,HIST2H4A,189,P62805
8451,CUL4A,58,Q13619
8508,NIPSNAP1,30,Q9BPW8
8607,RUVBL1,128,Q9Y265
8615,USO1,66,O60763
8661,EIF3A,95,Q14152
8662,EIF3B,101,P55884
8663,EIF3C,81,Q99613
8667,EIF3H,60,O15372
8668,EIF3I,90,Q13347
8766,RAB11A,113,P62491
8801,SUCLG2,45,Q96I99
8826,IQGAP1,187,P46940
8895,CPNE3,153,O75131
8968,HIST1H3F,62,P68431
8969,HIST1H2AG,35,P0C0S8
9093,DNAJA3,30,Q96EY1
9097,USP14,95,P54578
9230,RAB11B,145,Q15907
9520,NPEPPS,115,P55786
9559,VPS26A,55,O75436
9588,PRDX6,171,P30041
9632,SEC24C,65,P53992
9936,CD302,1,Q8IX05
9948,WDR1,167,O75083
9961,MVP,122,Q14764
10015,PDCD6IP,321,Q8WUM4
10072,DPP3,76,Q9NY33
10093,ARPC4,139,P59998
10094,ARPC3,112,O15145
10095,ARPC1B,97,O15143
10096,ACTR3,156,P61158
10097,ACTR2,147,P61160
10109,ARPC2,132,O15144
10121,ACTR1A,131,P61163
10128,LRPPRC,64,P42704
10168,ZNF197,3,O14709
10211,FLOT1,219,O75955
10236,HNRNPR,78,O43390
10376,TUBA1B,147,P68363
10383,TUBB4B,178,P68371
10399,GNB2L1,123,P63244
10483,SEC23B,52,Q15437
10487,CAP1,174,Q01518
10527,IPO7,64,O95373
10539,GLRX3,57,O76003
10574,CCT7,157,Q99832
10575,CCT4,172,P50991
10576,CCT2,193,P78371
10672,GNA13,176,Q14344
10694,CCT8,176,P50990
10890,RAB10,204,P61026
10971,YWHAQ,215,P27348
11021,RAB35,158,Q15286
11151,CORO1A,97,P31146
22800,RRAS2,117,P62070
22820,COPG1,94,Q9Y678
22931,RAB18,76,Q9NP72
22948,CCT5,167,P48643
23011,RAB21,106,Q9UL25
23157,SEPT6,67,Q14141
23317,DNAJC13,69,O75165
23406,COTL1,79,Q14019
23521,RPL13A,80,P40429
25873,RPL36,71,Q9Y3U8
25934,NIPSNAP3A,22,Q9UFN0
26140,TTLL3,12,Q9Y4R7
26578,OSTF1,48,Q92882
26958,COPG2,39,Q9UBF2
30845,EHD3,115,Q9NZN3
51035,UBXN1,29,Q04323
51552,RAB14,174,P61106
51762,RAB8B,154,Q92930
55577,NAGK,75,Q9UJ70
55619,DOCK10,59,Q96BY6
55737,VPS35,138,Q96QK1
55748,CNDP2,125,Q96KP4
56138,PCDHA11,2,Q9Y5I1
56616,DIABLO,22,Q9NR28
60412,EXOC4,58,Q96A65
79026,AHNAK,129,Q09666
79585,CORO7,44,P57737
81704,DOCK8,44,Q8NF50
81876,RAB1B,144,Q9H0U4
83706,FERMT3,101,Q86UX7
84790,TUBA1C,124,Q9BQE3
84836,ABHD14B,71,Q96IU4
85235,HIST1H2AH,70,Q96KK5
121504,HIST4H4,181,P62805
126961,HIST2H3C,69,Q71DI3
203068,TUBB,203,P07437
221823,PRPS1L1,13,P21108
333932,HIST2H3A,85,Q71DI3
388697,HRNR,63,Q86YZ3
399687,MYO18A,51,Q92614
554313,HIST2H4B,180,P62805
653361,NCF1,18,P14598
653604,HIST2H3D,66,Q71DI3
723790,HIST2H2AA4,86,Q6FI13
728689,EIF3CL,24,B5ME19
1,A1BG,44,P04217
12,SERPINA3,73,P01011
48,ACO1,87,P21399
52,ACP1,75,P24666
53,ACP2,56,P11117
55,ACPP,53,P15309
95,ACY1,52,Q03154
107,ADCY1,8,Q08828
128,ADH5,71,P11766
130,ADH6,27,P28332
143,PARP4,62,Q9UKK3
197,AHSG,110,P02765
203,AK1,78,P00568
210,ALAD,60,P13716
214,ALCAM,74,Q13740
216,ALDH1A1,83,P00352
217,ALDH2,47,P05091
221,ALDH3B1,42,P43353
223,ALDH9A1,101,P49189
230,ALDOC,125,P09972
231,AKR1B1,99,P15121
238,ALK,21,Q9UM73
239,ALOX12,21,P18054
249,ALPL,33,P05186
259,AMBP,42,P02760
290,ANPEP,109,P15144
301,ANXA1,217,P04083
306,ANXA3,113,P12429
310,ANXA7,195,P20073
312,ANXA13,42,P27216
316,AOX1,35,Q06278
317,APAF1,6,O14727
325,APCS,49,P02743
335,APOA1,124,P02647
336,APOA2,35,P02652
337,APOA4,3,P06727
347,APOD,85,P05090
348,APOE,158,P02649
357,SHROOM2,27,Q13796
358,AQP1,26,P29972
359,AQP2,29,P41181
388,RHOB,72,P62745
391,RHOG,120,P84095
392,ARHGAP1,62,Q07960
403,ARL3,66,P36405
415,ARSE,2,P51690
416,ARSF,12,P54793
427,ASAH1,60,Q13510
435,ASL,47,P04424
439,ASNA1,54,O43681
445,ASS1,72,P00966
481,ATP1B1,124,P05026
486,FXYD2,27,P54710
525,ATP6V1B1,58,P15313
526,ATP6V1B2,111,P21281
527,ATP6V0C,37,P27449
528,ATP6V1C1,47,P21283
529,ATP6V1E1,100,P36543
535,ATP6V0A1,66,Q93050
537,ATP6AP1,47,Q15904
566,AZU1,31,P20160
567,B2M,123,P61769
613,BCR,31,P11274
633,BGN,41,P21810
642,BLMH,58,Q13867
644,BLVRA,68,P53004
645,BLVRB,81,P30043
671,BPI,26,P17213
684,BST2,61,Q10589
706,TSPO,34,P30536
710,SERPING1,44,P05155
726,CAPN5,64,O15484
727,C5,83,P01031
735,C9,87,P02748
754,PTTG1IP,42,P53801
760,CA2,72,P00918
762,CA4,21,P22748
781,CACNA2D1,77,P54289
793,CALB1,17,P05937
810,CALML3,38,P27482
814,CAMK4,5,Q16566
820,CAMP,23,P49913
830,CAPZA2,112,P47755
873,CBR1,122,P16152
928,CD9,272,P21926
929,CD14,69,P08571
950,SCARB2,96,Q14108
966,CD59,143,P13987
967,CD63,230,P08962
975,CD81,221,P60033
983,CDK1,82,P06493
998,CDC42,202,P60953
1048,CEACAM5,48,P06731
1071,CETP,12,P11597
1075,CTSC,56,P53634
1152,CKB,96,P12277
1173,AP2M1,93,Q96CW1
1191,CLU,173,P10909
1200,TPP1,60,O14773
1291,COL6A1,103,P12109
1293,COL6A3,57,P12111
1306,COL15A1,40,P39059
1312,COMT,66,P21964
1356,CP,73,P00450
1370,CPN2,11,P22792
1378,CR1,23,P17927
1382,CRABP2,49,P29373
1398,CRK,49,P46108
1410,CRYAB,43,P02511
1428,CRYM,28,Q14894
1429,CRYZ,72,Q08257
1465,CSRP1,72,P21291
1471,CST3,47,P01034
1476,CSTB,94,P04080
1491,CTH,32,P32929
1497,CTNS,2,O60931
1509,CTSD,117,P07339
1511,CTSG,50,P08311
1636,ACE,98,P12821
1642,DDB1,80,Q16531
1644,DDC,8,P20711
1652,DDT,64,P30046
1654,DDX3X,101,O00571
1655,DDX5,62,P17844
1675,CFD,26,P00746
1769,DNAH8,13,Q96JB1
1800,DPEP1,66,P16444
1803,DPP4,102,P27487
1807,DPYS,10,Q14117
1824,DSC2,35,Q02487
1830,DSG3,9,P32926
1832,DSP,109,P15924
1889,ECE1,48,P42892
1947,EFNB1,43,P98172
1950,EGF,22,P01133
1954,MEGF8,13,Q7Z7M0
1991,ELANE,31,P08246
2028,ENPEP,32,Q07075
2040,STOM,170,P27105
2053,EPHX2,24,P34913
2059,EPS8,70,Q12929
2091,FBL,42,P22087
2098,ESD,89,P10768
2125,EVPL,44,Q92817
2160,F11,3,P03951
2168,FABP1,15,P07148
2170,FABP3,53,P05413
2182,ACSL4,82,O60488
2184,FAH,55,P16930
2194,FASN,210,P49327
2195,FAT1,55,Q14517
2202,EFEMP1,36,Q12805
2203,FBP1,51,P09467
2220,FCN2,15,Q15485
2243,FGA,107,P02671
2266,FGG,89,P02679
2289,FKBP5,32,Q13451
2335,FN1,201,P02751
2444,FRK,49,P42685
2512,FTL,76,P02792
2517,FUCA1,51,P04066
2548,GAA,53,P10253
2561,GABRB2,2,P47870
2584,GALK1,63,P51570
2632,GBE1,57,Q04446
2658,GDF2,1,Q9UK05
2674,GFRA1,21,P56159
2683,B4GALT1,41,P15291
2712,GK2,3,Q14410
2720,GLB1,48,P16278
2734,GLG1,69,Q92896
2752,GLUL,10,P15104
2760,GM2A,30,P17900
2767,GNA11,123,P29992
2770,GNAI1,111,P63096
2776,GNAQ,132,P50148
2787,GNG5,80,P63218
2788,GNG7,44,O60262
2805,GOT1,112,P17174
2810,SFN,100,P31947
2819,GPD1,43,P21695
2823,GPM6A,29,P51674
2875,GPT,14,P24298
2879,GPX4,48,P36969
2894,GRID1,3,Q9ULK0
2934,GSN,181,P06396
2937,GSS,75,P48637
2938,GSTA1,25,P08263
2946,GSTM2,38,P28161
2990,GUSB,34,P08236
3043,HBB,155,P68871
3075,CFH,58,P08603
3081,HGD,30,Q93099
3094,HINT1,67,P49773
3176,HNMT,6,P50135
