ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,Uniprot
10209,EIF1,31,P41567
10213,PSMD14,76,O00487
10226,PLIN3,76,O60664
10243,GPHN,20,Q9NQX3
10249,GLYAT,3,Q6IB77
10254,STAM2,43,O75886
10256,CNKSR1,1,Q969H4
10257,ABCC4,57,O15439
10273,STUB1,40,Q9UNE7
10298,PAK4,35,O96013
10321,CRISP3,3,P54108
10325,RRAGB,3,Q5VZM2
10380,BPNT1,52,O95861
10381,TUBB3,123,Q13509
10396,ATP8A1,11,Q9Y2Q0
10402,ST3GAL6,5,Q9Y274
10404,CPQ,22,Q9Y646
10413,YAP1,2,P46937
10419,PRMT5,47,O14744
10427,SEC24B,33,O95487
10432,RBM14,8,Q96PK6
10447,FAM3C,51,Q92520
10449,ACAA2,47,P42765
10451,VAV3,5,Q9UKW4
10457,GPNMB,43,Q14956
10480,EIF3M,87,Q7L2H7
10492,SYNCRIP,89,O60506
10494,STK25,39,O00506
10497,UNC13B,4,O14795
10512,SEMA3C,37,Q99985
10521,DDX17,93,Q92841
10525,HYOU1,100,Q9Y4L1
10528,NOP56,48,O00567
10553,HTATIP2,36,Q9BUP3
10558,SPTLC1,24,O15269
10564,ARFGEF2,29,Q9Y6D5
10565,ARFGEF1,29,Q9Y6D6
10577,NPC2,37,P61916
10579,TACC2,9,O95359
10611,PDLIM5,49,Q96HC4
10613,ERLIN1,38,O75477
10626,TRIM16,26,O95361
10627,MYL12A,81,O14950
10632,ATP5L,39,O75964
10640,EXOC5,45,O00471
10652,YKT6,67,O15498
10653,SPINT2,38,O43291
10678,B3GNT2,3,Q9NY97
10724,MGEA5,37,O60502
10728,PTGES3,74,Q15185
10741,RBBP9,6,O75884
10749,KIF1C,10,O43896
10752,CHL1,8,O00533
10768,AHCYL1,55,O43865
10801,SEPT9,91,Q9UHD8
10808,HSPH1,99,Q92598
10809,STARD10,23,Q9Y365
10810,WASF3,7,Q9UPY6
10844,TUBGCP2,33,Q9BSJ2
10846,PDE10A,1,Q9Y233
10848,PPP1R13L,26,Q8WUF5
10857,PGRMC1,55,O00264
10864,SLC22A7,2,Q9Y694
10867,TSPAN9,45,O75954
10928,RALBP1,1,Q15311
10935,PRDX3,74,P30048
10955,SERINC3,25,Q13530
10973,ASCC3,27,Q8N3C0
10980,COPS6,40,Q7L5N1
10985,GCN1L1,72,Q92616
10987,COPS5,30,Q92905
10988,METAP2,25,P50579
10989,IMMT,40,Q16891
11014,KDELR2,11,P33947
11020,IFT27,18,Q9BW83
11031,RAB31,53,Q13636
11041,B3GNT1,23,O43505
11059,WWP1,28,Q9H0M0
11060,WWP2,42,O00308
11069,RAPGEF4,2,Q8WZA2
11076,TPPP,17,O94811
11078,TRIOBP,35,Q9H2D6
11099,PTPN21,3,Q16825
11140,CDC37,66,Q16543
11171,STRAP,76,Q9Y3F4
11187,PKP3,54,Q9Y446
11199,ANXA10,21,Q9UJ72
11212,PROSC,43,O94903
11224,RPL35,53,P42766
11226,GALNT6,5,Q8NCL4
11253,MAN1B1,22,Q9UKM7
11254,SLC6A14,37,Q9UN76
11260,XPOT,51,O43592
11311,VPS45,31,Q9NRW7
11316,COPE,63,O14579
11329,STK38,33,Q15208
11331,PHB2,74,Q99623
11336,EXOC3,33,O60645
11342,RNF13,29,O43567
11343,MGLL,38,Q99685
11344,TWF2,75,Q6IBS0
22795,NID2,39,Q14112
22802,CLCA4,11,Q14CN2
22808,MRAS,30,O14807
22824,HSPA4L,46,O95757
22836,RHOBTB3,30,O94955
22839,DLGAP4,28,Q9Y2H0
22841,RAB11FIP2,6,Q7L804
22844,FRMPD1,4,Q5SYB0
22848,AAK1,7,Q2M2I8
22853,LMTK2,3,Q8IWU2
22858,ICK,3,Q9UPZ9
22859,LPHN1,5,O94910
22872,SEC31A,46,O94979
22884,WDR37,10,Q9Y2I8
22907,DHX30,44,Q7L2E3
22919,MAPRE1,70,Q15691
22920,KIFAP3,13,Q92845
22925,PLA2R1,2,Q13018
22928,SEPHS2,4,Q99611
22941,SHANK2,14,Q9UPX8
22978,NT5C2,46,P49902
22982,DIP2C,26,Q9Y2E4
23020,SNRNP200,72,O75643
23036,ZNF292,4,O60281
23041,MON2,25,Q7Z3U7
23043,TNIK,57,Q9UKE5
23052,ENDOD1,46,O94919
23053,KIAA0913,1,A7E2V4
23061,TBC1D9B,32,Q66K14
23062,GGA2,16,Q9UJY4
23066,CAND2,13,O75155
23071,ERP44,70,Q9BS26
23075,SWAP70,48,Q9UH65
23105,FSTL4,5,Q6MZW2
23111,SPG20,13,Q8N0X7
23116,FAM179B,9,Q9Y4F4
23122,CLASP2,12,O75122
23154,NCDN,29,Q9UBB6
23170,TTLL12,53,Q14166
23171,GPD1L,42,Q8N335
23173,METAP1,6,P53582
23175,LPIN1,1,Q14693
23176,SEPT8,50,Q92599
23181,DIP2A,35,Q14689
23192,ATG4B,27,Q9Y4P1
23196,FAM120A,42,Q9NZB2
23216,TBC1D1,9,Q86TI0
23218,NBEAL2,47,Q6ZNJ1
23220,DTX4,19,Q9Y2E6
23224,SYNE2,33,Q8WXH0
23228,PLCL2,3,Q9UPR0
23233,EXOC6B,27,Q9Y2D4
23236,PLCB1,28,Q9NQ66
23239,PHLPP1,6,O60346
23242,COBL,6,O75128
23250,ATP11A,28,P98196
23256,SCFD1,55,Q8WVM8
23263,MCF2L,5,O15068
23265,EXOC7,44,Q9UPT5
23279,NUP160,27,Q12769
23294,ANKS1A,9,Q92625
23303,KIF13B,44,Q9NQT8
23307,FKBP15,29,Q5T1M5
23308,ICOSLG,5,O75144
23324,MAN2B2,8,Q9Y2E5
23325,KIAA1033,47,Q2M389
23327,NEDD4L,66,Q96PU5
23335,WDR7,23,Q9Y4E6
23348,DOCK9,52,Q9BZ29
23351,KHNYN,2,O15037
23355,VPS8,13,Q8N3P4
23358,USP24,46,Q9UPU5
23371,TENC1,2,Q63HR2
23376,UFL1,42,O94874
23380,SRGAP2,60,O75044
23382,AHCYL2,27,Q96HN2
23396,PIP5K1C,26,O60331
23420,NOMO1,41,Q15155
23428,SLC7A8,11,Q9UHI5
23433,RHOQ,32,P17081
23435,TARDBP,58,Q13148
23450,SF3B3,75,Q15393
23461,ABCA5,4,Q8WWZ7
23474,ETHE1,20,O95571
23475,QPRT,40,Q15274
23476,BRD4,23,O60885
23498,HAAO,5,P46952
23499,MACF1,61,Q9UPN3
23524,SRRM2,40,Q9UQ35
23527,ACAP2,13,Q15057
23534,TNPO3,45,Q9Y5L0
23541,SEC14L2,29,O76054
23558,WBP2,35,Q969T9
23562,CLDN14,3,O95500
23569,PADI4,4,Q9UM07
23586,DDX58,28,O95786
23589,CARHSP1,32,Q9Y2V2
23616,SH3BP1,12,Q9Y3L3
23633,KPNA6,24,O60684
23637,RABGAP1,28,Q9Y3P9
23650,TRIM29,2,Q14134
23659,PLA2G15,4,Q8NCC3
23673,STX12,56,Q86Y82
23710,GABARAPL1,3,Q9H0R8
23729,SHPK,38,Q9UHJ6
23760,PITPNB,50,P48739
23788,MTCH2,29,Q9Y6C9
24138,IFIT5,21,Q13325
24139,EML2,40,O95834
25777,SUN2,8,Q9UH99
25778,DSTYK,1,Q6XUX3
25782,RAB3GAP2,23,Q9H2M9
25797,QPCT,18,Q16769
25798,BRI3,13,O95415
25814,ATXN10,40,Q9UBB4
25825,BACE2,17,Q9Y5Z0
25831,HECTD1,32,Q9ULT8
25851,TECPR1,6,Q7Z6L1
25864,ABHD14A,3,Q9BUJ0
25865,PRKD2,3,Q9BZL6
25890,ABI3BP,41,Q7Z7G0
25923,ATL3,45,Q6DD88
25953,PNKD,9,Q8N490
25981,DNAH1,9,Q9P2D7
25996,REXO2,28,Q9Y3B8
26000,TBC1D10B,35,Q4KMP7
26010,SPATS2L,21,Q9NUQ6
26011,ODZ4,31,Q6N022
26019,UPF2,23,Q9HAU5
26035,GLCE,15,O94923
26056,RAB11FIP5,34,Q9BXF6
26064,RAI14,34,Q9P0K7
26085,KLK13,3,Q9UKR3
26086,GPSM1,1,Q86YR5
26130,GAPVD1,42,Q14C86
26136,TES,38,Q9UGI8
26146,TRAF3IP1,2,Q8TDR0
26160,IFT172,7,Q9UG01
26228,STAP1,1,Q9ULZ2
26232,FBXO2,30,Q9UK22
26275,HIBCH,29,Q6NVY1
26276,VPS33B,17,Q9H267
26278,SACS,12,Q9NZJ4
26287,ANKRD2,1,Q9GZV1
26503,SLC17A5,24,Q9NRA2
26505,CNNM3,38,Q8NE01
26523,EIF2C1,3,Q9UL18
26528,DAZAP1,25,Q96EP5
26751,SH3YL1,1,Q96HL8
26873,OPLAH,38,O14841
26985,AP3M1,35,Q9Y2T2
26986,PABPC1,111,P11940
26998,FETUB,6,Q9UGM5
27031,NPHP3,5,Q7Z494
27044,SND1,116,Q7KZF4
27068,PPA2,45,Q9H2U2
27101,CACYBP,71,Q9HB71
27131,SNX5,45,Q9Y5X3
27134,TJP3,27,O95049
27163,NAAA,8,Q02083
27179,IL36A,1,Q9UHA7
27183,VPS4A,84,Q9UN37
27232,GNMT,3,Q14749
27237,ARHGEF16,34,Q5VV41
27241,BBS9,2,Q3SYG4
27252,KLHL20,1,Q9Y2M5
27333,GOLIM4,40,O00461
27335,EIF3K,59,Q9UBQ5
27347,STK39,29,Q9UEW8
27430,MAT2B,44,Q9NZL9
28513,CDH19,1,Q9H159
28952,CCDC22,17,O60826
28956,LAMTOR2,33,Q9Y2Q5
28959,TMEM176B,3,Q3YBM2
28981,IFT81,4,Q8WYA0
28983,TMPRSS11E,1,Q9UL52
28985,MCTS1,45,Q9ULC4
29062,WDR91,24,A4D1P6
29082,CHMP4A,54,Q9BY43
29091,STXBP6,23,Q8NFX7
29108,PYCARD,43,Q9ULZ3
29110,TBK1,26,Q9UHD2
29760,BLNK,1,Q8WV28
29766,TMOD3,62,Q9NYL9
29919,C18orf8,7,Q96DM3
29924,EPN1,42,Q9Y6I3
29925,GMPPB,61,Q9Y5P6
29926,GMPPA,70,Q96IJ6
29943,PADI1,1,Q9ULC6
29952,DPP7,37,Q9UHL4
29953,TRHDE,25,Q9UKU6
29959,NRBP1,30,Q9UHY1
29978,UBQLN2,28,Q9UHD9
29979,UBQLN1,37,Q9UMX0
29984,RHOD,24,O00212
29988,SLC2A8,1,Q9NY64
30000,TNPO2,30,O14787
30001,ERO1L,61,Q96HE7
30008,EFEMP2,23,O95967
30011,SH3KBP1,27,Q96B97
50506,DUOX2,2,Q9NRD8
50636,ANO7,6,Q6IWH7
50809,HP1BP3,44,Q5SSJ5
50813,COPS7A,22,Q9UBW8
51011,FAHD2A,27,Q96GK7
51015,ISOC1,44,Q96CN7
51020,HDDC2,25,Q7Z4H3
51072,MEMO1,33,Q9Y316
51090,PLLP,5,Q9Y342
51091,SEPSECS,5,Q9HD40
51098,IFT52,1,Q9Y366
51100,SH3GLB1,43,Q9Y371
51104,FAM108B1,28,Q5VST6
51109,RDH11,50,Q8TC12
51119,SBDS,39,Q9Y3A5
51133,KCTD3,4,Q9Y597
51143,DYNC1LI1,60,Q9Y6G9
51144,HSD17B12,46,Q53GQ0
51150,SDF4,27,Q9BRK5
51164,DCTN4,37,Q9UJW0
51196,PLCE1,6,Q9P212
51200,CPA4,20,Q9UI42
51228,GLTP,22,Q9NZD2
51232,CRIM1,31,Q9NZV1
51251,NT5C3,25,Q9H0P0
51279,C1RL,11,Q9NZP8
51280,GOLM1,29,Q8NBJ4
51292,GMPR2,4,Q9P2T1
51294,PCDH12,27,Q9NPG4
51347,TAOK3,53,Q9H2K8
51365,PLA1A,8,Q53H76
51372,TMA7,5,Q9Y2S6
51400,PPME1,29,Q9Y570
51451,LCMT1,19,Q9UIC8
51454,GULP1,26,Q9UBP9
51473,DCDC2,1,Q9UHG0
51477,ISYNA1,34,Q9NPH2
51493,C22orf28,56,Q9Y3I0
51520,LARS,80,Q9P2J5
51569,UFM1,27,P61960
51622,CCZ1,3,P86790
51637,C14orf166,46,Q9Y224
51645,PPIL1,31,Q9Y3C6
51667,NUB1,5,Q9Y5A7
51699,VPS29,55,Q9UBQ0
51702,PADI3,21,Q9ULW8
51765,MST4,65,Q9P289
51809,GALNT7,13,Q86SF2
53343,NUDT9,18,Q9BW91
53905,DUOX1,27,Q9NRD9
53916,RAB4B,38,P61018
53938,PPIL3,25,Q9H2H8
53942,CNTN5,5,O94779
53944,CSNK1G1,36,Q9HCP0
54039,PCBP3,39,P57721
54097,FAM3B,21,P58499
54165,DCUN1D1,33,Q96GG9
54187,NANS,78,Q9NR45
54346,UNC93A,1,Q86WB7
54436,SH3TC1,6,Q8TE82
54467,ANKIB1,7,Q9P2G1
54477,PLEKHA5,16,Q9HAU0
54505,DHX29,25,Q7Z478
54536,EXOC6,28,Q8TAG9
54538,ROBO4,7,Q8WZ75
54545,MTMR12,3,Q9C0I1
54555,DDX49,12,Q9Y6V7
54600,UGT1A9,1,O60656
54625,PARP14,28,Q460N5
54768,HYDIN,6,Q4G0P3
54795,TRPM4,35,Q8TD43
54809,SAMD9,26,Q5K651
54822,TRPM7,5,Q96QT4
54836,BSPRY,11,Q5W0U4
54842,MFSD6,30,Q6ZSS7
54843,SYTL2,7,Q9HCH5
54874,FNBP1L,12,Q5T0N5
54885,TBC1D8B,4,Q0IIM8
54886,LPPR1,2,Q8TBJ4
54921,CHTF8,2,P0CG13
54923,LIME1,26,Q9H400
54935,DUSP23,33,Q9BVJ7
54947,LPCAT2,20,Q7L5N7
54961,SSH3,9,Q8TE77
54972,TMEM132A,4,Q24JP5
54981,NMRK1,1,Q9NWW6
54994,C20orf11,33,Q9NWU2
55001,TTC22,2,Q5TAA0
55020,TTC38,31,Q5R3I4
55031,USP47,6,Q96K76
55041,PLEKHB2,40,Q96CS7
55057,AIM1L,1,Q8N1P7
55072,RNF31,2,Q96EP0
55081,IFT57,21,Q9NWB7
55118,CRTAC1,5,Q9NQ79
55124,PIWIL2,5,Q8TC59
55160,ARHGEF10L,28,Q9HCE6
55161,TMEM33,41,P57088
55163,PNPO,27,Q9NVS9
55183,RIF1,18,Q5UIP0
55191,NADSYN1,34,Q6IA69
55194,FAM176B,41,Q9NVM1
55195,C14orf105,1,Q9NVL8
55203,LGI2,17,Q8N0V4
55204,GOLPH3L,23,Q9H4A5
55229,PANK4,23,Q9NVE7
55230,USP40,1,Q9NVE5
55233,MOB1A,57,Q9H8S9
55236,UBA6,58,A0AVT1
55243,KIRREL,48,Q96J84
55244,SLC47A1,5,Q96FL8
55246,CCDC25,24,Q86WR0
55252,ASXL2,5,Q76L83
55275,VPS53,33,Q5VIR6
55277,FGGY,1,Q96C11
55286,C4orf19,1,Q8IY42
55359,STYK1,2,Q6J9G0
55365,TMEM176A,4,Q96HP8
55379,LRRC59,51,Q96AG4
55437,STRADB,4,Q9C0K7
55503,TRPV6,1,Q9H1D0
55506,H2AFY2,41,Q9P0M6
55556,ENOSF1,1,Q7L5Y1
55568,GALNT10,4,Q86SR1
55605,KIF21A,10,Q7Z4S6
55612,FERMT1,31,Q9BQL6
55620,STAP2,1,Q9UGK3
55624,POMGNT1,3,Q8WZA1
55640,FLVCR2,7,Q9UPI3
55666,NPLOC4,31,Q8TAT6
55667,DENND4C,9,Q5VZ89
55690,PACS1,7,Q6VY07
55705,IPO9,58,Q96P70
55727,BTBD7,7,Q9P203
55739,CARKD,32,Q8IW45
55740,ENAH,47,Q8N8S7
55752,SEPT11,85,Q9NVA2
55754,TMEM30A,64,Q9NV96
55763,EXOC1,46,Q9NV70
55770,EXOC2,47,Q96KP1
55773,TBC1D23,2,Q9NUY8
55788,LMBRD1,24,Q9NUN5
55793,FAM63A,10,Q8N5J2
55845,BRK1,40,Q8WUW1
55862,ECHDC1,47,Q9NTX5
55898,UNC45A,47,Q9H3U1
55909,BIN3,12,Q9NQY0
55915,LANCL2,40,Q9NS86
55930,MYO5C,45,Q9NQX4
55937,APOM,39,O95445
55959,SULF2,36,Q8IWU5
56097,PCDHGC5,6,Q9Y5F6
56098,PCDHGC4,3,Q9Y5F7
56099,PCDHGB7,1,Q9Y5F8
56101,PCDHGB5,3,Q9Y5G0
56104,PCDHGB1,4,Q9Y5G3
56110,PCDHGA5,1,Q9Y5G8
56113,PCDHGA2,1,Q9Y5H1
56132,PCDHB3,14,Q9Y5E6
56139,PCDHA10,1,Q9Y5I2
56143,PCDHA5,1,Q9Y5H7
56145,PCDHA3,1,Q9Y5H8
56302,TRPV5,4,Q9NQA5
56474,CTPS2,19,Q9NRF8
56606,SLC2A9,9,Q9NRM0
56623,INPP5E,1,Q9NRR6
56659,KCNK13,2,Q9HB14
56681,SAR1A,57,Q9NR31
56729,RETN,12,Q9HD89
56829,ZC3HAV1,65,Q7Z2W4
56882,CDC42SE1,25,Q9NRR8
56886,UGGT1,75,Q9NYU2
56904,SH3GLB2,6,Q9NR46
56912,IFT46,1,Q9NQC8
56924,PAK6,9,Q9NQU5
56957,OTUD7B,21,Q6GQQ9
56990,CDC42SE2,31,Q9NRR3
57016,AKR1B10,28,O60218
57019,CIAPIN1,27,Q6FI81
57020,C16orf62,24,Q7Z3J2
57026,PDXP,1,Q96GD0
57095,PITHD1,21,Q9GZP4
57102,C12orf4,1,Q9NQ89
57134,MAN1C1,3,Q9NR34
57144,PAK7,3,Q9P286
57148,RALGAPB,3,Q86X10
57161,PELI2,24,Q9HAT8
57162,PELI1,26,Q96FA3
57175,CORO1B,77,Q9BR76
57186,RALGAPA2,6,Q2PPJ7
57410,SCYL1,28,Q96KG9
57419,SLC24A3,1,Q9HC58
57447,NDRG2,34,Q9UN36
57448,BIRC6,40,Q9NR09
57452,GALNTL1,1,Q8N428
57460,PPM1H,4,Q9ULR3
57466,SCAF4,19,O95104
57470,LRRC47,62,Q8N1G4
57480,PLEKHG1,1,Q9ULL1
57486,NLN,41,Q9BYT8
57488,ESYT2,46,A0FGR8
57513,CASKIN2,1,Q8WXE0
57515,SERINC1,55,Q9NRX5
57519,STARD9,5,Q9P2P6
57522,SRGAP1,20,Q7Z6B7
57524,CASKIN1,4,Q8WXD9
57539,WDR35,4,Q9P2L0
57544,TXNDC16,3,Q9P2K2
57560,IFT80,2,Q9P2H3
57580,PREX1,30,Q8TCU6
57599,WDR48,33,Q8TAF3
57614,KIAA1468,17,Q9P260
57617,VPS18,37,Q9P253
57628,DPP10,3,Q8N608
57630,SH3RF1,2,Q7Z6J0
57648,KIAA1522,40,Q9P206
57659,ZBTB4,5,Q9P1Z0
57665,RDH14,5,Q9HBH5
57683,ZDBF2,21,Q9HCK1
57697,FANCM,5,Q8IYD8
57707,KIAA1609,44,Q6P9B6
57710,KIAA1614,2,Q5VZ46
57717,PCDHB16,20,Q9NRJ7
57728,WDR19,4,Q8NEZ3
57758,SCUBE2,2,Q9NQ36
58190,CTDSP1,32,Q9GZU7
58472,SQRDL,43,Q9Y6N5
58478,ENOPH1,42,Q9UHY7
58485,TRAPPC1,19,Q9Y5R8
58489,FAM108C1,24,Q6PCB6
58497,PRUNE,2,Q86TP1
58506,SCAF1,4,Q9H7N4
58508,MLL3,6,Q8NEZ4
58513,EPS15L1,28,Q9UBC2
58527,ABRACL,37,Q9P1F3
58533,SNX6,49,Q9UNH7
58986,TMEM8A,29,Q9HCN3
59274,MESDC1,28,Q9H1K6
59277,NTN4,29,Q9HB63
60314,C12orf10,28,Q9HB07
60676,PAPPA2,5,Q9BXP8
63898,SH2D4A,5,Q9H788
63929,XPNPEP3,28,Q9NQH7
64077,LHPP,28,Q9H008
64083,GOLPH3,38,Q9H4A6
64087,MCCC2,27,Q9HCC0
64097,EPB41L4A,2,Q9HCS5
64129,TINAGL1,75,Q9GZM7
64132,XYLT2,4,Q9H1B5
64145,ZFYVE20,3,Q9H1K0
64167,ERAP2,22,Q6P179
64210,MMS19,40,Q96T76
64218,SEMA4A,27,Q9H3S1
64236,PDLIM2,21,Q96JY6
64285,RHBDF1,27,Q96CC6
64359,NXN,36,Q6DKJ4
64374,SIL1,25,Q9H173
64419,MTMR14,9,Q8NCE2
64422,ATG3,44,Q9NT62
64423,INF2,31,Q27J81
64430,C14orf135,2,Q63HM2
64601,VPS16,24,Q9H269
64759,TNS3,31,Q68CZ2
64780,MICAL1,35,Q8TDZ2
64837,KLC2,45,Q9H0B6
64841,GNPNAT1,41,Q96EK6
64853,AIDA,70,Q96BJ3
64856,VWA1,41,Q6PCB0
65062,TMEM237,26,Q96Q45
65082,VPS33A,27,Q96AX1
65124,SOWAHC,5,Q53LP3
65264,UBE2Z,27,Q9H832
65979,PHACTR4,27,Q8IZ21
65992,DDRGK1,33,Q96HY6
79038,ZFYVE21,1,Q9BQ24
79058,ASPSCR1,27,Q9BZE9
79083,MLPH,25,Q9BV36
79154,DHRS11,26,Q6UWP2
79156,PLEKHF1,19,Q96S99
79180,EFHD2,58,Q96C19
79188,TMEM43,44,Q9BTV4
79572,ATP13A3,23,Q9H7F0
79575,ABHD8,4,Q96I13
79577,CDC73,15,Q6P1J9
79591,C10orf76,2,Q5T2E6
79624,C6orf211,25,Q9H993
79633,FAT4,35,Q6V0I7
79641,ROGDI,2,Q9GZN7
79654,HECTD3,35,Q5T447
79666,PLEKHF2,16,Q9H8W4
79672,FN3KRP,39,Q9HA64
79701,C17orf101,1,Q6PK18
79711,IPO4,49,Q8TEX9
79717,PPCS,34,Q9HAB8
79735,TBC1D17,5,Q9HA65
79763,ISOC2,24,Q96AB3
79767,ELMO3,30,Q96BJ8
79774,GRTP1,26,Q5TC63
79792,GSDMD,19,P57764
79809,TTC21B,3,Q7Z4L5
79848,CSPP1,2,Q1MSJ5
79876,UBA5,25,Q9GZZ9
79885,HDAC11,4,Q96DB2
79956,ERMP1,23,Q7Z2K6
79961,DENND2D,30,Q9H6A0
79983,POF1B,32,Q8WVV4
79989,TTC26,1,A0AVF1
80005,DOCK5,49,Q9H7D0
80013,FAM188A,1,Q9H8M7
80019,UBTD1,38,Q9HAC8
80031,SEMA6D,3,Q8NFY4
80146,UXS1,33,Q8NBZ7
80223,RAB11FIP1,36,Q6WKZ4
80271,ITPKC,1,Q96DU7
80301,PLEKHO2,36,Q8TD55
80310,PDGFD,20,Q9GZP0
80341,BPIFB2,5,Q8N4F0
80349,WDR61,34,Q9GZS3
80728,ARHGAP39,4,Q9C0H5
80737,VWA7,1,Q9Y334
80740,LY6G6C,1,O95867
80760,ITIH5,25,Q86UX2
80772,GLTPD1,27,Q5TA50
80854,SETD7,1,Q8WTS6
81033,KCNH6,1,Q9H252
81533,ITFG1,26,Q8TB96
81553,FAM49A,38,Q9H0Q0
81577,GFOD2,1,Q3B7J2
81607,PVRL4,27,Q96NY8
81609,SNX27,37,Q96L92
81619,TSPAN14,86,Q8NG11
81622,UNC93B1,21,Q9H1C4
81888,HYI,2,Q5T013
81926,FAM108A1,2,Q96GS6
83593,RASSF5,1,Q8WWW0
83594,NUDT12,17,Q9BQG2
83605,CCM2,40,Q9BSQ5
83658,DYNLRB1,39,Q9NP97
83696,TRAPPC9,7,Q96Q05
83737,ITCH,77,Q96J02
83854,ANGPTL6,8,Q8NI99
83872,HMCN1,31,Q96RW7
83940,TATDN1,22,Q6P1N9
83985,SPNS1,25,Q9H2V7
83986,ITFG3,38,Q9H0X4
84033,OBSCN,8,Q5VST9
84070,FAM186B,1,Q8IYM0
84166,NLRC5,2,Q86WI3
84230,LRRC8C,41,Q8TDW0
84245,MRI1,34,Q9BV20
84263,HSDL2,31,Q6YN16
84267,C9orf64,32,Q5T6V5
84293,FAM213A,27,Q9BRX8
84299,MIEN1,26,Q9BRT3
84340,GFM2,31,Q969S9
84376,HOOK3,31,Q86VS8
84440,RAB11FIP4,1,Q86YS3
84518,CNFN,2,Q9BYD5
84632,AFAP1L2,4,Q8N4X5
84659,RNASE7,4,Q9H1E1
84669,USP32,4,Q8NFA0
84766,EFCAB4B,3,Q9BSW2
84861,KLHL22,4,Q53GT1
84883,AIFM2,35,Q9BRQ8
84888,SPPL2A,43,Q8TCT8
84898,PLXDC2,5,Q6UX71
84932,RAB2B,33,Q8WUD1
84936,ZFYVE19,1,Q96K21
84958,SYTL1,18,Q8IYJ3
84988,PPP1R16A,18,Q96I34
85021,REPS1,8,Q96D71
85377,MICALL1,39,Q8N3F8
85440,DOCK7,52,Q96N67
85456,TNKS1BP1,40,Q9C0C2
87769,A2LD1,29,Q9BVM4
88455,ANKRD13A,22,Q8IZ07
89795,NAV3,4,Q8IVL0
89845,ABCC10,2,Q5T3U5
89932,PAPLN,27,O95428
89953,KLC4,37,Q9NSK0
90161,HS6ST2,1,Q96MM7
90423,ATP6V1E2,5,Q96A05
90678,LRSAM1,20,Q6UWE0
90952,ESAM,29,Q96AP7
90957,DHX57,25,Q6P158
91039,DPP9,43,Q86TI2
91107,TRIM47,30,Q96LD4
91373,UAP1L1,38,Q3KQV9
91782,CHMP7,1,Q8WUX9
91833,WDR20,22,Q8TBZ3
91862,MARVELD3,17,Q96A59
92181,UBTD2,29,Q8WUN7
92335,STRADA,2,Q7RTN6
92421,CHMP4C,52,Q96CF2
92689,FAM114A1,1,Q8IWE2
92799,SHKBP1,1,Q8TBC3
93082,NEURL3,1,Q96EH8
93185,IGSF8,141,Q969P0
93627,TBCK,3,Q8TEA7
93663,ARHGAP18,59,Q8N392
93664,CADPS2,2,Q86UW7
94056,SYAP1,22,Q96A49
94120,SYTL3,3,Q4VX76
94121,SYTL4,7,Q96C24
94122,SYTL5,21,Q8TDW5
94134,ARHGAP12,8,Q8IWW6
112936,VPS26B,31,Q4G0F5
113026,PLCD3,43,Q8N3E9
113246,C12orf57,24,Q99622
113278,SLC52A3,31,Q9NQ40
113675,SDSL,32,Q96GA7
113791,PIK3IP1,2,Q96FE7
113828,FAM83F,13,Q8NEG4
113878,DTX2,5,Q86UW9
114134,SLC2A13,3,Q96QE2
114770,PGLYRP2,20,Q96PD5
114822,RHPN1,1,Q8TCX5
114882,OSBPL8,27,Q9BZF1
114883,OSBPL9,25,Q96SU4
114902,C1QTNF5,17,Q9BXJ0
115399,LRRC56,1,Q8IYG6
115548,FCHO2,24,Q0JRZ9
115817,DHRS1,7,Q96LJ7
116835,HSPA12B,2,Q96MM6
116844,LRG1,18,P02750
117583,PARD3B,12,Q8TEW8
117584,RFFL,4,Q8WZ73
119587,CPXM2,4,Q8N436
121214,SDR9C7,2,Q8NEX9
121391,KRT74,22,Q7RTS7
121512,FGD4,10,Q96M96
123016,TTC8,1,Q8TAM2
123036,TC2N,15,Q8N9U0
123876,ACSM2A,1,Q08AH3
124583,CANT1,33,Q8WVQ1
124641,OVCA2,21,Q8WZ82
124975,GGT6,7,Q6P531
124997,WDR81,28,Q562E7
126014,OSCAR,6,Q8IYS5
126298,IRGQ,17,Q8WZA9
127018,LYPLAL1,22,Q5VWZ2
127124,ATP6V1G3,2,Q96LB4
127294,MYOM3,2,Q5VTT5
127700,OSCP1,17,Q8WVF1
128239,IQGAP3,47,Q86VI3
128240,APOA1BP,36,Q8NCW5
129285,PPP1R21,9,Q6ZMI0
130013,ACMSD,2,Q8TDX5
130617,ZFAND2B,1,Q8WV99
131034,CPNE4,7,Q96A23
131870,NUDT16,28,Q96DE0
132724,TMPRSS11B,2,Q86T26
135114,HINT3,28,Q9NQE9
135293,PM20D2,23,Q8IYS1
137075,CLDN23,3,Q96B33
137492,VPS37A,4,Q8NEZ2
137902,PXDNL,17,A1KZ92
140465,MYL6B,54,P14649
140469,MYO3B,4,Q8WXR4
140609,NEK7,16,Q8TDX7
140735,DYNLL2,31,Q96FJ2
144402,CPNE8,58,Q86YQ8
145226,RDH12,1,Q96NR8
145282,MIPOL1,2,Q8TD10
145482,PTGR2,15,Q8N8N7
145553,MDP1,6,Q86V88
146894,CD300LG,2,Q6UXG3
147179,WIPF2,6,Q8TF74
