From	Entry
3310	B3KSM6
3312	P11142
3312	Q53HF2
3312	V9HW22
3313	P38646
3313	A0A384P5G6
3320	P07900
3320	K9JA46
3320	Q86SX1
3326	P08238
3326	A0A024RD80
3326	B4DGL0
3326	Q6PK50
3329	P10809
3329	A0A024R3X4
3376	P41252
3376	Q6P0M4
3376	Q7L4K8
3385	P32942
3385	A0A024R7C1
3385	K7ERN2
3418	P48735
3418	B4DSZ6
3482	P11717
3612	P29218
3612	A0A024R830
3612	A0A140VJL8
3689	P05107
3689	A0A494C0X7
3689	B4E0R1
3712	P26440
3712	A0A0A0MT83
3712	A0A0S2Z4K7
3716	P23458
3716	Q6P669
3799	P33176
3799	Q6P164
3799	V9HW29
3837	Q14974
3837	B7Z752
3843	O00410
3843	B3KWG6
3843	Q9BVS9
3848	P04264
3849	P35908
3852	P13647
3853	P02538
3853	A0A0S2Z428
3857	P35527
3858	P13645
3861	P02533
3895	Q86UP2
3895	A0A024R663
3932	P06239
3932	A0A0S2Z3Y4
3932	A0A0S2Z3Y8
3932	Q573B4
3936	P13796
3936	A0A024RDT4
3939	P00338
3939	V9HWB9
3945	P07195
3945	A0A5F9ZHM4
3945	Q5U077
4001	P20700
4001	B4DZT3
4012	Q9UIQ6
4048	P09960
4048	A0A140VK27
4065	O60449
4065	Q59H44
4067	P07948
4067	A8K379
4067	Q6NUK7
4141	P56192
4190	P40925
4190	A0A5K1VW95
4190	V9HWF2
4191	P40926
4191	A0A024R4K3
4191	B3KTM1
4191	G3XAL0
4218	P61006
4218	A0A024R7I3
4478	P26038
4478	V9HWC0
4522	P11586
4599	P20591
4599	H9KVC7
4627	P35579
4627	A0A024R1N1
4629	P35749
4629	A0A024QZJ4
4629	A0A024QZJ6
4643	Q12965
4643	Q4KMR3
4670	P52272
4670	Q59ES8
4735	Q15019
4735	A0A384N6H6
4860	P00491
4860	V9HWH6
4869	P06748
4869	A0A0S2Z491
4869	A0A0S2Z4G7
4869	A0A140VJQ2
4905	P46459
4905	A0A384MTI6
5037	P30086
5037	D9IAI1
5052	Q06830
5052	A0A384NPQ2
5106	Q16822
5106	A0A384MTT2
5175	P16284
5211	P17858
5211	Q7L2M7
5214	Q01813
5214	A0A7I2V3Z0
5214	B1APP6
5216	P07737
5223	P18669
5223	B7Z9E5
5223	Q6FHU2
5230	P00558
5230	V9HWF4
5295	P27986
5295	A0A2X0SFG1
5297	P42356
5297	B4DYG5
5297	Q4LE69
5315	P14618
5315	A0A024R5Z9
5315	A0A804F6T5
5315	A0A804F729
5315	B4DNK4
5315	V9HWB8
5336	P16885
5339	Q15149
5431	P30876
5431	B4DH29
5431	B4DHJ3
5431	C9J2Y9
5478	P62937
5478	V9HWF5
5528	Q14738
5528	A0A024RD11
5551	P14222
5566	P17612
5566	A0A024R7J0
5566	A8K8B9
5579	P05771
5591	P78527
5631	P60891
5631	B7ZB02
5683	P25787
5683	A0A024RA52
5685	P25789
5685	H0YLC2
5685	H0YN18
5687	P60900
5687	A0A140VK44
5688	O14818
5688	A0A0K0K1K4
5689	P20618
5689	A0A140VK45
5690	P49721
5690	A0A087WVV1
5690	A0A140VJS6
5690	B7Z478
5692	P28070
5692	A0A140VK46
5694	P28072
5694	A0A087X2I4
5694	Q6IAT9
5698	P28065
5698	A0A1U9X8D7
5708	Q13200
5713	P51665
5720	Q06323
5720	A0A0K0K1L8
5720	Q86SZ9
5721	Q9UL46
5721	Q86SZ7
5725	P26599
5725	A0A7I2V621
5777	P29350
5777	Q53XS4
5788	P08575
5788	M9MML4
5795	Q12913
5795	Q9NPR5
5834	P11216
5859	P47897
5859	B7Z840
5861	P62820
5861	B7Z8M7
5861	Q5U0I6
5862	P61019
5862	A0A024R7V6
5867	P20338
5867	A0A024R3U9
5867	A0A087WYT5
5869	P61020
5869	A0A024RB09
5871	Q12851
5871	A0A024R567
5878	P51148
5878	A0A024R1U4
5880	P15153
5880	A0A024R1P2
5880	V9H0H7
5898	P11233
5901	P62826
5901	B4DV51
5906	P62834
5906	A8KAH9
5908	P61224
5908	A0A024RB87
5908	B7ZAY2
5912	P61225
6050	P13489
6050	A0A140VJT8
6051	Q9H4A4
6128	Q02878
6128	A0A024RBK3
6128	Q8TBK5
6129	P18124
6132	P62917
6133	P32969
6133	Q53Z07
6137	P26373
6137	A8K4C8
6138	P61313
6138	A0A024R2Q4
6139	P18621
6139	A0A024R261
6141	Q07020
6141	A0A024QZD1
6142	Q02543
6143	P84098
6143	J3KTE4
6144	P46778
6144	Q6IAX2
6152	P83731
6152	V9HW01
6154	P61254
6155	P61353
6155	A0A024R1V4
6157	P46776
6158	P46779
6161	P62910
6161	A0A024R2G7
6175	P05388
6175	A0A024RBS2
6187	P15880
6188	P23396
6189	P61247
6189	B7Z3M5
6191	P62701
6191	B2R491
6193	P46782
6193	A0A024R4Q8
6194	P62753
6194	A2A3R6
6201	P62081
6202	P62241
6202	Q5JR94
6203	P46781
6203	A0A024R4M0
