ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
2782,P62873,GNB1,41,Microparticles
2806,P00505,GOT2,18,Microparticles
2821,P06744,GPI,42,Microparticles
2885,P62993,GRB2,16,Microparticles
2936,P00390,GSR,16,Microparticles
2950,P09211,GSTP1,31,Microparticles
3013,P20671,HIST1H2AD,6,Microparticles
3030,P40939,HADHA,21,Microparticles
3064,P42858,HTT,5,Microparticles
3071,P55160,NCKAP1L,14,Microparticles
3105,P04439,HLA-A,31,Microparticles
3106,P01889,HLA-B,20,Microparticles
3107,P10321,HLA-C,7,Microparticles
3113,P20036,HLA-DPA1,3,Microparticles
3119,P01920,HLA-DQB1,6,Microparticles
3122,P01903,HLA-DRA,10,Microparticles
3123,P01911,HLA-DRB1,11,Microparticles
3126,P13762,HLA-DRB4,4,Microparticles
3133,P13747,HLA-E,11,Microparticles
3178,P09651,HNRNPA1,8,Microparticles
3181,P22626,HNRNPA2B1,20,Microparticles
3183,P07910,HNRNPC,14,Microparticles
3184,Q14103,HNRNPD,9,Microparticles
3185,P52597,HNRNPF,15,Microparticles
3187,P31943,HNRNPH1,17,Microparticles
3190,P61978,HNRNPK,21,Microparticles
3192,Q00839,HNRNPU,16,Microparticles
3240,P00738,HP,26,Microparticles
3250,P00739,HPR,17,Microparticles
3263,P02790,HPX,8,Microparticles
3276,Q99873,PRMT1,6,Microparticles
3294,P37059,HSD17B2,1,Microparticles
3295,P51659,HSD17B4,22,Microparticles
3308,P34932,HSPA4,22,Microparticles
3310,P17066,HSPA6,13,Microparticles
3312,P11142,HSPA8,41,Microparticles
3313,P38646,HSPA9,22,Microparticles
3320,P07900,HSP90AA1,40,Microparticles
3326,P08238,HSP90AB1,38,Microparticles
3329,P10809,HSPD1,28,Microparticles
3376,P41252,IARS,20,Microparticles
3385,P32942,ICAM3,14,Microparticles
3418,P48735,IDH2,20,Microparticles
3482,P11717,IGF2R,13,Microparticles
3612,P29218,IMPA1,7,Microparticles
3689,P05107,ITGB2,22,Microparticles
3712,P26440,IVD,9,Microparticles
3716,P23458,JAK1,12,Microparticles
3799,P33176,KIF5B,16,Microparticles
3837,Q14974,KPNB1,29,Microparticles
3843,O00410,IPO5,14,Microparticles
3848,P04264,KRT1,38,Microparticles
3849,P35908,KRT2,27,Microparticles
3852,P13647,KRT5,25,Microparticles
3853,P02538,KRT6A,16,Microparticles
3857,P35527,KRT9,26,Microparticles
3858,P13645,KRT10,29,Microparticles
3861,P02533,KRT14,25,Microparticles
3895,Q86UP2,KTN1,12,Microparticles
3932,P06239,LCK,12,Microparticles
3936,P13796,LCP1,36,Microparticles
3939,P00338,LDHA,43,Microparticles
3945,P07195,LDHB,42,Microparticles
4001,P20700,LMNB1,15,Microparticles
4012,Q9UIQ6,LNPEP,18,Microparticles
4048,P09960,LTA4H,17,Microparticles
4067,P07948,LYN,25,Microparticles
4141,P56192,MARS,11,Microparticles
4190,P40925,MDH1,29,Microparticles
4191,P40926,MDH2,30,Microparticles
4218,P61006,RAB8A,28,Microparticles
4478,P26038,MSN,40,Microparticles
4522,P11586,MTHFD1,25,Microparticles
4599,P20591,MX1,4,Microparticles
4627,P35579,MYH9,38,Microparticles
4629,P35749,MYH11,17,Microparticles
4643,Q12965,MYO1E,12,Microparticles
4670,P52272,HNRNPM,22,Microparticles
4735,Q15019,SEPT2,24,Microparticles
4860,P00491,PNP,22,Microparticles
4869,P06748,NPM1,13,Microparticles
4905,P46459,NSF,14,Microparticles
5037,P30086,PEBP1,30,Microparticles
5052,Q06830,PRDX1,42,Microparticles
5106,Q16822,PCK2,9,Microparticles
5175,P16284,PECAM1,45,Microparticles
5211,P17858,PFKL,22,Microparticles
5214,Q01813,PFKP,22,Microparticles
