ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
4001,LMNB1,15,Microparticles
4012,LNPEP,18,Microparticles
4048,LTA4H,17,Microparticles
4065,LY75,6,Microparticles
4067,LYN,25,Microparticles
4141,MARS,11,Microparticles
4190,MDH1,29,Microparticles
4191,MDH2,30,Microparticles
4218,RAB8A,28,Microparticles
4478,MSN,40,Microparticles
4522,MTHFD1,25,Microparticles
4599,MX1,4,Microparticles
4627,MYH9,38,Microparticles
4629,MYH11,17,Microparticles
4643,MYO1E,12,Microparticles
4670,HNRNPM,22,Microparticles
4735,SEPT2,24,Microparticles
4860,PNP,22,Microparticles
4869,NPM1,13,Microparticles
4905,NSF,14,Microparticles
5037,PEBP1,30,Microparticles
5052,PRDX1,42,Microparticles
5106,PCK2,9,Microparticles
5175,PECAM1,45,Microparticles
5211,PFKL,22,Microparticles
5214,PFKP,22,Microparticles
5216,PFN1,45,Microparticles
5223,PGAM1,22,Microparticles
5230,PGK1,36,Microparticles
5295,PIK3R1,7,Microparticles
5297,PI4KA,10,Microparticles
5315,PKM,44,Microparticles
5336,PLCG2,10,Microparticles
5339,PLEC,24,Microparticles
5431,POLR2B,1,Microparticles
5478,PPIA,46,Microparticles
5528,PPP2R5D,5,Microparticles
5551,PRF1,1,Microparticles
5566,PRKACA,13,Microparticles
5579,PRKCB,17,Microparticles
5591,PRKDC,8,Microparticles
5631,PRPS1,13,Microparticles
5683,PSMA2,25,Microparticles
5685,PSMA4,15,Microparticles
5687,PSMA6,20,Microparticles
5688,PSMA7,27,Microparticles
5689,PSMB1,25,Microparticles
5690,PSMB2,18,Microparticles
5692,PSMB4,18,Microparticles
5694,PSMB6,20,Microparticles
5698,PSMB9,12,Microparticles
5708,PSMD2,24,Microparticles
5713,PSMD7,16,Microparticles
5720,PSME1,25,Microparticles
5721,PSME2,18,Microparticles
5725,PTBP1,14,Microparticles
5777,PTPN6,18,Microparticles
5788,PTPRC,27,Microparticles
5795,PTPRJ,30,Microparticles
5834,PYGB,18,Microparticles
5859,QARS,12,Microparticles
5861,RAB1A,35,Microparticles
5862,RAB2A,30,Microparticles
5867,RAB4A,4,Microparticles
5869,RAB5B,22,Microparticles
5871,MAP4K2,1,Microparticles
5878,RAB5C,43,Microparticles
5880,RAC2,33,Microparticles
5898,RALA,28,Microparticles
5901,RAN,22,Microparticles
5906,RAP1A,28,Microparticles
5908,RAP1B,41,Microparticles
5912,RAP2B,34,Microparticles
6050,RNH1,28,Microparticles
6051,RNPEP,9,Microparticles
6128,RPL6,18,Microparticles
6129,RPL7,17,Microparticles
6132,RPL8,18,Microparticles
6133,RPL9,15,Microparticles
6137,RPL13,18,Microparticles
6138,RPL15,20,Microparticles
6139,RPL17,9,Microparticles
6141,RPL18,16,Microparticles
6142,RPL18A,9,Microparticles
6143,RPL19,19,Microparticles
6144,RPL21,14,Microparticles
6152,RPL24,14,Microparticles
6154,RPL26,16,Microparticles
6155,RPL27,14,Microparticles
6157,RPL27A,14,Microparticles
6158,RPL28,6,Microparticles
6161,RPL32,5,Microparticles
6175,RPLP0,21,Microparticles
6187,RPS2,18,Microparticles
6188,RPS3,20,Microparticles
6189,RPS3A,20,Microparticles
6191,RPS4X,23,Microparticles
6193,RPS5,14,Microparticles
6194,RPS6,20,Microparticles
6201,RPS7,18,Microparticles
6202,RPS8,21,Microparticles
6203,RPS9,16,Microparticles
6204,RPS10,14,Microparticles
6207,RPS13,17,Microparticles
6210,RPS15A,11,Microparticles
6229,RPS24,9,Microparticles
6301,SARS,15,Microparticles
6421,SFPQ,13,Microparticles
6472,SHMT2,18,Microparticles
6693,SPN,11,Microparticles
6709,SPTAN1,24,Microparticles
6711,SPTBN1,26,Microparticles
6723,SRM,9,Microparticles
6767,ST13,17,Microparticles
6810,STX4,22,Microparticles
6850,SYK,8,Microparticles
6897,TARS,22,Microparticles
6950,TCP1,31,Microparticles
7001,PRDX2,35,Microparticles
7018,TF,31,Microparticles
7094,TLN1,39,Microparticles
7167,TPI1,46,Microparticles
7184,HSP90B1,27,Microparticles
7203,CCT3,28,Microparticles
7247,TSN,8,Microparticles
7277,TUBA4A,26,Microparticles
7284,TUFM,22,Microparticles
7307,U2AF1,8,Microparticles
7317,UBA1,30,Microparticles
7360,UGP2,20,Microparticles
7407,VARS,20,Microparticles
7408,VASP,23,Microparticles
7414,VCL,34,Microparticles
7415,VCP,31,Microparticles
7416,VDAC1,26,Microparticles
7430,EZR,41,Microparticles
7431,VIM,25,Microparticles
7453,WARS,17,Microparticles
7520,XRCC5,19,Microparticles
7529,YWHAB,38,Microparticles
7534,YWHAZ,43,Microparticles
7846,TUBA1A,30,Microparticles
7879,RAB7A,31,Microparticles
8078,USP5,18,Microparticles
8218,CLTCL1,13,Microparticles
8239,USP9X,10,Microparticles
8294,HIST1H4I,29,Microparticles
8329,HIST1H2AI,3,Microparticles
8330,HIST1H2AK,3,Microparticles
8331,HIST1H2AJ,7,Microparticles
8332,HIST1H2AL,3,Microparticles
8335,HIST1H2AB,13,Microparticles
8336,HIST1H2AM,3,Microparticles
8337,HIST2H2AA3,6,Microparticles
8339,HIST1H2BG,19,Microparticles
8343,HIST1H2BF,19,Microparticles
8344,HIST1H2BE,19,Microparticles
8346,HIST1H2BI,19,Microparticles
8347,HIST1H2BC,19,Microparticles
8350,HIST1H3A,13,Microparticles
8351,HIST1H3D,13,Microparticles
8352,HIST1H3C,13,Microparticles
8353,HIST1H3E,13,Microparticles
8354,HIST1H3I,13,Microparticles
8355,HIST1H3G,13,Microparticles
8356,HIST1H3J,13,Microparticles
8357,HIST1H3H,13,Microparticles
8358,HIST1H3B,13,Microparticles
8359,HIST1H4A,29,Microparticles
8360,HIST1H4D,29,Microparticles
8361,HIST1H4F,29,Microparticles
8362,HIST1H4K,29,Microparticles
8363,HIST1H4J,29,Microparticles
8364,HIST1H4C,29,Microparticles
8365,HIST1H4H,29,Microparticles
8366,HIST1H4B,29,Microparticles
8367,HIST1H4E,29,Microparticles
8368,HIST1H4L,29,Microparticles
8370,HIST2H4A,31,Microparticles
8451,CUL4A,8,Microparticles
8508,NIPSNAP1,9,Microparticles
8607,RUVBL1,19,Microparticles
8615,USO1,18,Microparticles
8661,EIF3A,14,Microparticles
8662,EIF3B,21,Microparticles
8663,EIF3C,11,Microparticles
8667,EIF3H,5,Microparticles
8668,EIF3I,16,Microparticles
8766,RAB11A,25,Microparticles
8801,SUCLG2,16,Microparticles
8826,IQGAP1,34,Microparticles
8895,CPNE3,28,Microparticles
8968,HIST1H3F,13,Microparticles
8969,HIST1H2AG,3,Microparticles
9093,DNAJA3,8,Microparticles
9097,USP14,11,Microparticles
9230,RAB11B,26,Microparticles
9520,NPEPPS,24,Microparticles
9559,VPS26A,13,Microparticles
9588,PRDX6,35,Microparticles
9632,SEC24C,8,Microparticles
9936,CD302,1,Microparticles
9948,WDR1,33,Microparticles
9961,MVP,25,Microparticles
10015,PDCD6IP,37,Microparticles
10072,DPP3,14,Microparticles
10093,ARPC4,25,Microparticles
10094,ARPC3,21,Microparticles
10095,ARPC1B,20,Microparticles
10096,ACTR3,30,Microparticles
10097,ACTR2,30,Microparticles
10109,ARPC2,31,Microparticles
10121,ACTR1A,21,Microparticles
10128,LRPPRC,18,Microparticles
10168,ZNF197,1,Microparticles
10211,FLOT1,41,Microparticles
10236,HNRNPR,18,Microparticles
10376,TUBA1B,20,Microparticles
10383,TUBB4B,28,Microparticles
10399,GNB2L1,25,Microparticles
10483,SEC23B,5,Microparticles
10487,CAP1,38,Microparticles
10527,IPO7,8,Microparticles
10539,GLRX3,11,Microparticles
10574,CCT7,24,Microparticles
10575,CCT4,23,Microparticles
10576,CCT2,29,Microparticles
10672,GNA13,35,Microparticles
10694,CCT8,30,Microparticles
10890,RAB10,38,Microparticles
10971,YWHAQ,40,Microparticles
11021,RAB35,23,Microparticles
11151,CORO1A,29,Microparticles
22800,RRAS2,16,Microparticles
22820,COPG1,24,Microparticles
22931,RAB18,14,Microparticles
22948,CCT5,25,Microparticles
23011,RAB21,17,Microparticles
23157,SEPT6,15,Microparticles
23317,DNAJC13,13,Microparticles
23406,COTL1,22,Microparticles
23521,RPL13A,16,Microparticles
25873,RPL36,10,Microparticles
25934,NIPSNAP3A,8,Microparticles
26140,TTLL3,8,Microparticles
26578,OSTF1,16,Microparticles
26781,SNORA67,3,Microparticles
26958,COPG2,9,Microparticles
28396,IGHV4-31,1,Microparticles
28450,IGHV3-11,1,Microparticles
28452,IGHV3-7,1,Microparticles
30845,EHD3,22,Microparticles
51035,UBXN1,2,Microparticles
51552,RAB14,36,Microparticles
51762,RAB8B,22,Microparticles
55577,NAGK,11,Microparticles
55619,DOCK10,13,Microparticles
55737,VPS35,31,Microparticles
55748,CNDP2,18,Microparticles
56138,PCDHA11,1,Microparticles
56616,DIABLO,2,Microparticles
60412,EXOC4,12,Microparticles
79026,AHNAK,24,Microparticles
79585,CORO7,15,Microparticles
81704,DOCK8,3,Microparticles
81876,RAB1B,19,Microparticles
83706,FERMT3,32,Microparticles
84790,TUBA1C,21,Microparticles
84836,ABHD14B,10,Microparticles
85235,HIST1H2AH,12,Microparticles
92755,TUBBP1,3,Microparticles
113157,RPLP0P2,3,Microparticles
121504,HIST4H4,29,Microparticles
122589,RPLP0P3,3,Microparticles
126961,HIST2H3C,9,Microparticles
146053,RPS3AP47,1,Microparticles
149224,RPS7P4,2,Microparticles
158078,EEF1A1P5,6,Microparticles
203068,TUBB,29,Microparticles
220717,RPLP0P6,3,Microparticles
221823,PRPS1L1,5,Microparticles
283398,SUCLG2P2,1,Microparticles
284821,RPL13AP7,3,Microparticles
285053,RPL18AP6,2,Microparticles
286444,RPS2P55,2,Microparticles
333932,HIST2H3A,9,Microparticles
343184,RPS2P11,2,Microparticles
344328,ST13P2,1,Microparticles
345041,HSPD1P5,3,Microparticles
347292,RPL36P14,1,Microparticles
376693,RPS10P7,2,Microparticles
387753,RPL21P97,1,Microparticles
388076,RPS8P10,3,Microparticles
