ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
1192,CLIC1,43,Exosomes,O00299
1213,CLTC,53,Exosomes,Q00610
1236,CCR7,1,Exosomes,P32248
1265,CNN2,17,Exosomes,Q99439
1314,COPA,25,Exosomes,P53621
1431,CS,28,Exosomes,O75390
1434,CSE1L,30,Exosomes,P55060
1445,CSK,27,Exosomes,P41240
1511,CTSG,26,Exosomes,P08311
1660,DHX9,36,Exosomes,Q08211
1665,DHX15,26,Exosomes,O43143
1736,DKC1,19,Exosomes,O60832
1778,DYNC1H1,32,Exosomes,Q14204
1785,DNM2,28,Exosomes,P50570
1890,TYMP,22,Exosomes,P19971
1915,EEF1A1,44,Exosomes,P68104
1936,EEF1D,28,Exosomes,P29692
1937,EEF1G,40,Exosomes,P26641
1938,EEF2,59,Exosomes,P13639
1973,EIF4A1,38,Exosomes,P60842
1974,EIF4A2,26,Exosomes,Q14240
1991,ELANE,16,Exosomes,P08246
1992,SERPINB1,15,Exosomes,P30740
2023,ENO1,49,Exosomes,P06733
2026,ENO2,39,Exosomes,P09104
2108,ETFA,23,Exosomes,P13804
2184,FAH,26,Exosomes,P16930
2316,FLNA,53,Exosomes,P21333
2319,FLOT2,41,Exosomes,Q14254
2495,FTH1,33,Exosomes,P02794
2512,FTL,21,Exosomes,P02792
2534,FYN,25,Exosomes,P06241
2547,XRCC6,38,Exosomes,P12956
2597,GAPDH,50,Exosomes,P04406
2617,GARS,37,Exosomes,P41250
2638,GC,5,Exosomes,P02774
2664,GDI1,32,Exosomes,P31150
2665,GDI2,52,Exosomes,P50395
2739,GLO1,25,Exosomes,Q04760
2771,GNAI2,45,Exosomes,P04899
2773,GNAI3,39,Exosomes,P08754
2778,GNAS,27,Exosomes,O95467
2782,GNB1,47,Exosomes,P62873
2783,GNB2,39,Exosomes,P62879
2788,GNG7,32,Exosomes,O60262
2821,GPI,36,Exosomes,P06744
2923,PDIA3,35,Exosomes,P30101
2950,GSTP1,31,Exosomes,P09211
2992,GYG1,19,Exosomes,P46976
3003,GZMK,1,Exosomes,P49863
3006,HIST1H1C,31,Exosomes,P16403
3009,HIST1H1B,36,Exosomes,P16401
3015,H2AFZ,9,Exosomes,P0C0S5
3020,H3F3A,25,Exosomes,P84243
3021,H3F3B,4,Exosomes,P84243
3028,HSD17B10,22,Exosomes,Q99714
3033,HADH,22,Exosomes,Q16836
3055,HCK,21,Exosomes,P08631
3071,NCKAP1L,22,Exosomes,P55160
3106,HLA-B,43,Exosomes,P01889
3113,HLA-DPA1,3,Exosomes,P20036
3115,HLA-DPB1,30,Exosomes,P04440
3117,HLA-DQA1,6,Exosomes,P01909
3118,HLA-DQA2,3,Exosomes,P01906
3119,HLA-DQB1,5,Exosomes,P01920
3122,HLA-DRA,34,Exosomes,P01903
3123,HLA-DRB1,82,Exosomes,P01911
3125,HLA-DRB3,25,Exosomes,P79483
3127,HLA-DRB5,7,Exosomes,Q30154
3133,HLA-E,23,Exosomes,P13747
3146,HMGB1,24,Exosomes,P09429
3159,HMGA1,23,Exosomes,P17096
3178,HNRNPA1,25,Exosomes,P09651
3181,HNRNPA2B1,26,Exosomes,P22626
3183,HNRNPC,31,Exosomes,P07910
3184,HNRNPD,29,Exosomes,Q14103
3185,HNRNPF,26,Exosomes,P52597
3187,HNRNPH1,21,Exosomes,P31943
3190,HNRNPK,31,Exosomes,P61978
3191,HNRNPL,27,Exosomes,P14866
3192,HNRNPU,30,Exosomes,Q00839
3263,HPX,6,Exosomes,P02790
3276,PRMT1,20,Exosomes,Q99873
3303,HSPA1A,37,Exosomes,P0DMV8
3304,HSPA1B,13,Exosomes,P0DMV8
3308,HSPA4,45,Exosomes,P34932
3309,HSPA5,32,Exosomes,P11021
3312,HSPA8,60,Exosomes,P11142
3320,HSP90AA1,59,Exosomes,P07900
3326,HSP90AB1,63,Exosomes,P08238
3383,ICAM1,32,Exosomes,P05362
3384,ICAM2,25,Exosomes,P13598
3385,ICAM3,21,Exosomes,P32942
3417,IDH1,27,Exosomes,O75874
3418,IDH2,30,Exosomes,P48735
3608,ILF2,32,Exosomes,Q12905
3615,IMPDH2,30,Exosomes,P12268
3683,ITGAL,23,Exosomes,P20701
3684,ITGAM,25,Exosomes,P11215
3689,ITGB2,21,Exosomes,P05107
3690,ITGB3,25,Exosomes,P05106
3693,ITGB5,25,Exosomes,P18084
3695,ITGB7,25,Exosomes,P26010
3700,ITIH4,5,Exosomes,Q14624
3732,CD82,33,Exosomes,P27701
3818,KLKB1,1,Exosomes,P03952
3837,KPNB1,30,Exosomes,Q14974
3843,IPO5,30,Exosomes,O00410
3845,KRAS,22,Exosomes,P01116
3848,KRT1,50,Exosomes,P04264
3849,KRT2,49,Exosomes,P35908
3852,KRT5,20,Exosomes,P13647
3857,KRT9,44,Exosomes,P35527
3858,KRT10,24,Exosomes,P13645
3921,RPSA,33,Exosomes,P08865
3927,LASP1,18,Exosomes,Q14847
3931,LCAT,21,Exosomes,P04180
3932,LCK,35,Exosomes,P06239
3936,LCP1,46,Exosomes,P13796
3939,LDHA,40,Exosomes,P00338
3945,LDHB,51,Exosomes,P07195
3956,LGALS1,33,Exosomes,P09382
4001,LMNB1,26,Exosomes,P20700
4012,LNPEP,25,Exosomes,Q9UIQ6
4046,LSP1,19,Exosomes,P33241
4048,LTA4H,26,Exosomes,P09960
4057,LTF,26,Exosomes,P02788
4067,LYN,28,Exosomes,P07948
4074,M6PR,35,Exosomes,P20645
4082,MARCKS,31,Exosomes,P29966
4190,MDH1,25,Exosomes,P40925
4191,MDH2,21,Exosomes,P40926
4204,MECP2,1,Exosomes,P51608
4218,RAB8A,35,Exosomes,P61006
4267,CD99,28,Exosomes,P14209
4282,MIF,42,Exosomes,P14174
4353,MPO,21,Exosomes,P05164
4478,MSN,51,Exosomes,P26038
4627,MYH9,59,Exosomes,P35579
4637,MYL6,30,Exosomes,P60660
4645,MYO5B,19,Exosomes,Q9ULV0
4670,HNRNPM,27,Exosomes,P52272
4691,NCL,39,Exosomes,P19338
4735,SEPT2,26,Exosomes,Q15019
4736,RPL10A,32,Exosomes,P62906
4809,NHP2L1,31,Exosomes,P55769
4869,NPM1,40,Exosomes,P06748
4893,NRAS,38,Exosomes,P01111
4904,YBX1,37,Exosomes,P67809
4907,NT5E,23,Exosomes,P21589
4926,NUMA1,16,Exosomes,Q14980
