ENTREZ GENE ID,Uniprot,GENE SYMBOL,OCCURRENCES,VESICLE TYPE
3329,P10809,HSPD1,42,Exosomes
3376,P41252,IARS,21,Exosomes
3385,P32942,ICAM3,11,Exosomes
3418,P48735,IDH2,11,Exosomes
3482,P11717,IGF2R,27,Exosomes
3612,P29218,IMPA1,4,Exosomes
3689,P05107,ITGB2,18,Exosomes
3716,P23458,JAK1,14,Exosomes
3799,P33176,KIF5B,18,Exosomes
3837,Q14974,KPNB1,57,Exosomes
3843,O00410,IPO5,26,Exosomes
3848,P04264,KRT1,65,Exosomes
3849,P35908,KRT2,69,Exosomes
3852,P13647,KRT5,44,Exosomes
3853,P02538,KRT6A,31,Exosomes
3857,P35527,KRT9,69,Exosomes
3858,P13645,KRT10,71,Exosomes
3861,P02533,KRT14,44,Exosomes
3895,Q86UP2,KTN1,12,Exosomes
3932,P06239,LCK,20,Exosomes
3936,P13796,LCP1,35,Exosomes
3939,P00338,LDHA,67,Exosomes
3945,P07195,LDHB,65,Exosomes
4001,P20700,LMNB1,12,Exosomes
4012,Q9UIQ6,LNPEP,15,Exosomes
4048,P09960,LTA4H,13,Exosomes
4067,P07948,LYN,21,Exosomes
4141,P56192,MARS,21,Exosomes
4190,P40925,MDH1,30,Exosomes
4191,P40926,MDH2,29,Exosomes
4218,P61006,RAB8A,56,Exosomes
4478,P26038,MSN,79,Exosomes
4522,P11586,MTHFD1,39,Exosomes
4599,P20591,MX1,8,Exosomes
4627,P35579,MYH9,66,Exosomes
4629,P35749,MYH11,16,Exosomes
4643,Q12965,MYO1E,17,Exosomes
4670,P52272,HNRNPM,23,Exosomes
4735,Q15019,SEPT2,29,Exosomes
4860,P00491,PNP,22,Exosomes
4869,P06748,NPM1,47,Exosomes
4905,P46459,NSF,10,Exosomes
5037,P30086,PEBP1,45,Exosomes
5052,Q06830,PRDX1,79,Exosomes
5106,Q16822,PCK2,5,Exosomes
5175,P16284,PECAM1,13,Exosomes
5211,P17858,PFKL,25,Exosomes
5214,Q01813,PFKP,30,Exosomes
5216,P07737,PFN1,68,Exosomes
5223,P18669,PGAM1,48,Exosomes
5230,P00558,PGK1,86,Exosomes
5295,P27986,PIK3R1,8,Exosomes
5297,P42356,PI4KA,13,Exosomes
5315,P14618,PKM,108,Exosomes
5336,P16885,PLCG2,10,Exosomes
5339,Q15149,PLEC,33,Exosomes
5431,P30876,POLR2B,10,Exosomes
5478,P62937,PPIA,73,Exosomes
5528,Q14738,PPP2R5D,1,Exosomes
5551,P14222,PRF1,4,Exosomes
5566,P17612,PRKACA,11,Exosomes
5579,P05771,PRKCB,12,Exosomes
5591,P78527,PRKDC,36,Exosomes
5631,P60891,PRPS1,12,Exosomes
5683,P25787,PSMA2,40,Exosomes
5685,P25789,PSMA4,43,Exosomes
5687,P60900,PSMA6,38,Exosomes
5688,O14818,PSMA7,46,Exosomes
5689,P20618,PSMB1,33,Exosomes
5690,P49721,PSMB2,32,Exosomes
5692,P28070,PSMB4,33,Exosomes
5694,P28072,PSMB6,35,Exosomes
5698,P28065,PSMB9,15,Exosomes
5708,Q13200,PSMD2,37,Exosomes
5713,P51665,PSMD7,22,Exosomes
5720,Q06323,PSME1,22,Exosomes
5721,Q9UL46,PSME2,25,Exosomes
5725,P26599,PTBP1,21,Exosomes
5777,P29350,PTPN6,16,Exosomes
5788,P08575,PTPRC,19,Exosomes
5795,Q12913,PTPRJ,19,Exosomes
5834,P11216,PYGB,23,Exosomes
5859,P47897,QARS,14,Exosomes
5861,P62820,RAB1A,58,Exosomes
5862,P61019,RAB2A,31,Exosomes
5867,P20338,RAB4A,7,Exosomes
5869,P61020,RAB5B,39,Exosomes
5871,Q12851,MAP4K2,1,Exosomes
5878,P51148,RAB5C,64,Exosomes
5880,P15153,RAC2,32,Exosomes
5898,P11233,RALA,52,Exosomes
5901,P62826,RAN,64,Exosomes
5906,P62834,RAP1A,54,Exosomes
5908,P61224,RAP1B,54,Exosomes
5912,P61225,RAP2B,39,Exosomes
6050,P13489,RNH1,25,Exosomes
6051,Q9H4A4,RNPEP,18,Exosomes
6128,Q02878,RPL6,36,Exosomes
6129,P18124,RPL7,43,Exosomes
6132,P62917,RPL8,37,Exosomes
6133,P32969,RPL9,23,Exosomes
6137,P26373,RPL13,42,Exosomes
6138,P61313,RPL15,33,Exosomes
6139,P18621,RPL17,28,Exosomes
6141,Q07020,RPL18,52,Exosomes
6142,Q02543,RPL18A,33,Exosomes
6143,P84098,RPL19,27,Exosomes
6144,P46778,RPL21,24,Exosomes
6152,P83731,RPL24,26,Exosomes
6154,P61254,RPL26,15,Exosomes
6155,P61353,RPL27,24,Exosomes
6157,P46776,RPL27A,25,Exosomes
6158,P46779,RPL28,34,Exosomes
6161,P62910,RPL32,17,Exosomes
6175,P05388,RPLP0,42,Exosomes
6187,P15880,RPS2,52,Exosomes
6188,P23396,RPS3,55,Exosomes
6189,P61247,RPS3A,43,Exosomes
6191,P62701,RPS4X,47,Exosomes
6193,P46782,RPS5,38,Exosomes
6194,P62753,RPS6,42,Exosomes
6201,P62081,RPS7,35,Exosomes
6202,P62241,RPS8,58,Exosomes
6203,P46781,RPS9,31,Exosomes
6204,P46783,RPS10,22,Exosomes
6207,P62277,RPS13,31,Exosomes
6210,P62244,RPS15A,25,Exosomes
6229,P62847,RPS24,33,Exosomes
6301,P49591,SARS,17,Exosomes
6421,P23246,SFPQ,16,Exosomes
6472,P34897,SHMT2,22,Exosomes
6693,P16150,SPN,14,Exosomes
6709,Q13813,SPTAN1,23,Exosomes
6711,Q01082,SPTBN1,31,Exosomes
6723,P19623,SRM,11,Exosomes
6767,P50502,ST13,41,Exosomes
6810,Q12846,STX4,25,Exosomes
