ENTREZ GENE ID,GENE SYMBOL,OCCURRENCES,VESICLE TYPE,Uniprot
3313,HSPA9,37,Microparticles,P38646
3320,HSP90AA1,120,Microparticles,P07900
3326,HSP90AB1,108,Microparticles,P08238
3329,HSPD1,58,Microparticles,P10809
3376,IARS,30,Microparticles,P41252
3385,ICAM3,19,Microparticles,P32942
3418,IDH2,30,Microparticles,P48735
3482,IGF2R,30,Microparticles,P11717
3612,IMPA1,10,Microparticles,P29218
3689,ITGB2,36,Microparticles,P05107
3712,IVD,2,Microparticles,P26440
3716,JAK1,11,Microparticles,P23458
3799,KIF5B,33,Microparticles,P33176
3837,KPNB1,79,Microparticles,Q14974
3843,IPO5,40,Microparticles,O00410
3848,KRT1,80,Microparticles,P04264
3849,KRT2,78,Microparticles,P35908
3852,KRT5,51,Microparticles,P13647
3853,KRT6A,30,Microparticles,P02538
3857,KRT9,82,Microparticles,P35527
3858,KRT10,84,Microparticles,P13645
3861,KRT14,47,Microparticles,P02533
3895,KTN1,13,Microparticles,Q86UP2
3932,LCK,31,Microparticles,P06239
3936,LCP1,63,Microparticles,P13796
3939,LDHA,109,Microparticles,P00338
3945,LDHB,101,Microparticles,P07195
4001,LMNB1,15,Microparticles,P20700
4012,LNPEP,33,Microparticles,Q9UIQ6
4048,LTA4H,36,Microparticles,P09960
4065,LY75,20,Microparticles,O60449
4067,LYN,41,Microparticles,P07948
4141,MARS,25,Microparticles,P56192
4190,MDH1,71,Microparticles,P40925
4191,MDH2,56,Microparticles,P40926
4218,RAB8A,79,Microparticles,P61006
4478,MSN,113,Microparticles,P26038
4522,MTHFD1,58,Microparticles,P11586
4599,MX1,11,Microparticles,P20591
4627,MYH9,100,Microparticles,P35579
4629,MYH11,30,Microparticles,P35749
4643,MYO1E,21,Microparticles,Q12965
4670,HNRNPM,28,Microparticles,P52272
4735,SEPT2,43,Microparticles,Q15019
4860,PNP,52,Microparticles,P00491
4869,NPM1,42,Microparticles,P06748
4905,NSF,20,Microparticles,P46459
5037,PEBP1,83,Microparticles,P30086
5052,PRDX1,113,Microparticles,Q06830
5106,PCK2,3,Microparticles,Q16822
5175,PECAM1,54,Microparticles,P16284
5211,PFKL,45,Microparticles,P17858
5214,PFKP,41,Microparticles,Q01813
5216,PFN1,105,Microparticles,P07737
5223,PGAM1,71,Microparticles,P18669
5230,PGK1,112,Microparticles,P00558
5295,PIK3R1,12,Microparticles,P27986
5297,PI4KA,19,Microparticles,P42356
5315,PKM,136,Microparticles,P14618
5336,PLCG2,12,Microparticles,P16885
5339,PLEC,51,Microparticles,Q15149
5431,POLR2B,12,Microparticles,P30876
5478,PPIA,111,Microparticles,P62937
5528,PPP2R5D,2,Microparticles,Q14738
5551,PRF1,8,Microparticles,P14222
5566,PRKACA,27,Microparticles,P17612
5579,PRKCB,15,Microparticles,P05771
5591,PRKDC,36,Microparticles,P78527
5631,PRPS1,16,Microparticles,P60891
5683,PSMA2,67,Microparticles,P25787
5685,PSMA4,57,Microparticles,P25789
5687,PSMA6,63,Microparticles,P60900
5688,PSMA7,63,Microparticles,O14818
5689,PSMB1,51,Microparticles,P20618
5690,PSMB2,55,Microparticles,P49721
5692,PSMB4,40,Microparticles,P28070
5694,PSMB6,53,Microparticles,P28072
5698,PSMB9,25,Microparticles,P28065
5708,PSMD2,52,Microparticles,Q13200
5713,PSMD7,25,Microparticles,P51665
5720,PSME1,52,Microparticles,Q06323
5721,PSME2,47,Microparticles,Q9UL46
5725,PTBP1,24,Microparticles,P26599
5777,PTPN6,26,Microparticles,P29350
5788,PTPRC,39,Microparticles,P08575
5795,PTPRJ,43,Microparticles,Q12913
5834,PYGB,37,Microparticles,P11216
5859,QARS,22,Microparticles,P47897
5861,RAB1A,94,Microparticles,P62820
5862,RAB2A,67,Microparticles,P61019
5867,RAB4A,20,Microparticles,P20338
5869,RAB5B,64,Microparticles,P61020
5871,MAP4K2,1,Microparticles,Q12851
5878,RAB5C,106,Microparticles,P51148
5880,RAC2,64,Microparticles,P15153
5898,RALA,80,Microparticles,P11233
5901,RAN,82,Microparticles,P62826
5906,RAP1A,88,Microparticles,P62834
5908,RAP1B,92,Microparticles,P61224
5912,RAP2B,72,Microparticles,P61225
6050,RNH1,57,Microparticles,P13489
6051,RNPEP,31,Microparticles,Q9H4A4
6128,RPL6,41,Microparticles,Q02878
6129,RPL7,45,Microparticles,P18124
6132,RPL8,38,Microparticles,P62917
6133,RPL9,31,Microparticles,P32969
6137,RPL13,46,Microparticles,P26373
6138,RPL15,39,Microparticles,P61313
6139,RPL17,29,Microparticles,P18621
6141,RPL18,56,Microparticles,Q07020
6142,RPL18A,33,Microparticles,Q02543
6143,RPL19,29,Microparticles,P84098
6144,RPL21,25,Microparticles,P46778
6152,RPL24,33,Microparticles,P83731
6154,RPL26,17,Microparticles,P61254
6155,RPL27,31,Microparticles,P61353
6157,RPL27A,29,Microparticles,P46776
6158,RPL28,30,Microparticles,P46779
6161,RPL32,18,Microparticles,P62910
6175,RPLP0,49,Microparticles,P05388
6187,RPS2,54,Microparticles,P15880
6188,RPS3,64,Microparticles,P23396
6189,RPS3A,49,Microparticles,P61247
6191,RPS4X,54,Microparticles,P62701
6193,RPS5,40,Microparticles,P46782
6194,RPS6,47,Microparticles,P62753
6201,RPS7,37,Microparticles,P62081
6202,RPS8,65,Microparticles,P62241
6203,RPS9,37,Microparticles,P46781
6204,RPS10,27,Microparticles,P46783
6207,RPS13,37,Microparticles,P62277
6210,RPS15A,33,Microparticles,P62244
6229,RPS24,36,Microparticles,P62847
6301,SARS,31,Microparticles,P49591
6421,SFPQ,23,Microparticles,P23246
6472,SHMT2,32,Microparticles,P34897
6693,SPN,18,Microparticles,P16150
6709,SPTAN1,41,Microparticles,Q13813
6711,SPTBN1,47,Microparticles,Q01082
6723,SRM,16,Microparticles,P19623
6767,ST13,57,Microparticles,P50502
6810,STX4,43,Microparticles,Q12846
6850,SYK,7,Microparticles,P43405
6897,TARS,44,Microparticles,P26639
6950,TCP1,79,Microparticles,P17987
7001,PRDX2,94,Microparticles,P32119
7018,TF,79,Microparticles,P02787
7094,TLN1,75,Microparticles,Q9Y490
7167,TPI1,120,Microparticles,P60174
7184,HSP90B1,73,Microparticles,P14625
7203,CCT3,75,Microparticles,P49368
