mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
31.496905183792116,0.15653403461092538,0.5222896337509155,0.008098408836689221,8,1000,"{'max_features': 8, 'n_estimators': 1000}",0.7628032345013477,0.7493261455525606,0.7493261455525606,0.7452830188679245,0.7398921832884097,0.7452830188679245,0.7776280323450134,0.7466307277628033,0.7574123989218329,0.7695417789757413,0.7543126684636118,0.01156283966512219,14,0.8350128232140133,0.8352889037423443,0.8359827377017023,0.8235881750350549,0.8239441736110606,0.8181283193234574,0.8459833915766378,0.8353106995735282,0.8360989821346837,0.8418458162902043,0.8331184022202687,0.008194902948400726,14
156.3672226190567,0.585323323479858,2.344937968254089,0.10502489277381988,8,5000,"{'max_features': 8, 'n_estimators': 5000}",0.7628032345013477,0.7520215633423181,0.7560646900269542,0.7533692722371967,0.7398921832884097,0.7466307277628033,0.7789757412398922,0.7493261455525606,0.7533692722371967,0.7654986522911051,0.7557951482479783,0.010418408673901732,10,0.8368908973343699,0.8355213926083072,0.8353070669349976,0.8253500047224303,0.8254771470710036,0.820954512100319,0.8480249344308743,0.8352198836102614,0.8361462064355825,0.8431971578236136,0.834208920307176,0.007854749395703495,11
312.1984683513641,0.9959188644589952,4.721154260635376,0.21244230717258894,8,10000,"{'max_features': 8, 'n_estimators': 10000}",0.7668463611859838,0.7533692722371967,0.7547169811320755,0.7520215633423181,0.738544474393531,0.7493261455525606,0.7803234501347709,0.7425876010781671,0.7506738544474394,0.7668463611859838,0.7555256064690026,0.011859838274932612,11,0.8367237959619591,0.8366620411069376,0.8357139224504326,0.82594575744146,0.8261964095000762,0.8208346350288068,0.8476580379392767,0.8361062474117451,0.8368582035875938,0.8438764612288491,0.8346575511657137,0.007803237132616879,2
35.01159977912903,0.1725975202450557,0.530833387374878,0.022469481048562993,9,1000,"{'max_features': 9, 'n_estimators': 1000}",0.7654986522911051,0.7560646900269542,0.7452830188679245,0.7547169811320755,0.738544474393531,0.7493261455525606,0.7803234501347709,0.7466307277628033,0.7601078167115903,0.7654986522911051,0.7561994609164421,0.011584810335763678,6,0.8340065823410177,0.8375665681010745,0.8341664184363671,0.8256115546966383,0.8265451427990206,0.8208164718361535,0.845881677697779,0.8334871150311317,0.8378281180752828,0.8436948293023154,0.833960447831678,0.0075004023035337266,12
173.30427525043487,0.48187600449149903,2.2722187280654906,0.015158988484336324,9,5000,"{'max_features': 9, 'n_estimators': 5000}",0.761455525606469,0.7533692722371967,0.7506738544474394,0.7520215633423181,0.7398921832884097,0.7533692722371967,0.7830188679245284,0.7533692722371967,0.7506738544474394,0.7681940700808625,0.7566037735849057,0.011214363376126545,3,0.8370761618994341,0.8360226967255395,0.8344279684105753,0.8257641255149265,0.8252918825059394,0.8216665092523304,0.847963179575853,0.8370797945379647,0.8368654688646551,0.8441271132874651,0.8346284900574684,0.007879010216862766,3
346.22420864105226,0.9459090785743208,4.601770520210266,0.3151539001933485,9,10000,"{'max_features': 9, 'n_estimators': 10000}",0.7628032345013477,0.7520215633423181,0.7506738544474394,0.7560646900269542,0.738544474393531,0.7506738544474394,0.7789757412398922,0.7506738544474394,0.7506738544474394,0.7695417789757413,0.7560646900269543,0.010915610097744794,9,0.8371960389709461,0.836117145327337,0.8345514781206181,0.8261927768615456,0.8251066179408753,0.8216338155055543,0.8474655080971513,0.8370797945379647,0.8367056327693057,0.8432443821245124,0.8345293190255809,0.0076730104915912175,4
38.244955039024354,0.20344080167151143,0.4806884765625,0.028873098423347333,10,1000,"{'max_features': 10, 'n_estimators': 1000}",0.7587601078167115,0.7560646900269542,0.7466307277628033,0.7520215633423181,0.7398921832884097,0.7533692722371967,0.7776280323450134,0.7506738544474394,0.7466307277628033,0.7654986522911051,0.7547169811320755,0.010174979023275934,13,0.8366620411069376,0.8364041237712599,0.8352743731882215,0.828920888398079,0.8255389019260249,0.8209000225223588,0.845881677697779,0.8357066571733713,0.8361752675438278,0.8415806336774653,0.8343044587005325,0.0069917455233975126,8
190.5749370098114,0.9701307388719809,2.260034513473511,0.010138364723323344,10,5000,"{'max_features': 10, 'n_estimators': 5000}",0.7641509433962265,0.7547169811320755,0.7479784366576819,0.7493261455525606,0.7412398921832885,0.7520215633423181,0.7735849056603774,0.7547169811320755,0.7466307277628033,0.7695417789757413,0.7553908355795149,0.0099447767193387,12,0.836745591793143,0.8370434681526581,0.834442498964698,0.8262363685239137,0.8258731046708466,0.8217972842394344,0.8471131421596763,0.8360372272796623,0.8358483300760675,0.8431208724144696,0.8344257888274569,0.007437216684011311,7
373.92812542915345,3.9731671243184934,3.930209517478943,0.17565757049206443,10,10000,"{'max_features': 10, 'n_estimators': 10000}",0.7668463611859838,0.7560646900269542,0.7412398921832885,0.7506738544474394,0.7439353099730458,0.7520215633423181,0.7762803234501348,0.7547169811320755,0.7520215633423181,0.7681940700808625,0.756199460916442,0.010499162643429805,8,0.8368981626114312,0.8372541611874368,0.8350745780690347,0.826363510872487,0.8262508990780364,0.8214885099643275,0.8476725684933994,0.836988978574698,0.8370688966223727,0.8432988717024724,0.8348359137175697,0.007614580027165289,1
41.571759009361266,0.1577130285233204,0.45431344509124755,0.0026324883609655696,11,1000,"{'max_features': 11, 'n_estimators': 1000}",0.7560646900269542,0.7574123989218329,0.7466307277628033,0.7574123989218329,0.7358490566037735,0.7506738544474394,0.7789757412398922,0.7439353099730458,0.7479784366576819,0.7654986522911051,0.7540431266846361,0.011471370047798754,15,0.8335706657173371,0.8346531919994769,0.8297527626216026,0.8267812643035142,0.8255316366489636,0.8217137335532291,0.8471857949302897,0.8348130280948265,0.8335597678017451,0.8415116135453826,0.8329073459216367,0.007159826079489628,15
